"NATIVE.ID","SEASONAL_SNOW_DEPTH","NETWORK.ID","NETWORK.NAME","STATION.ID","STATION.NAME","HISTORY.ID","PROVINCE","LONGITUDE","LATITUDE","ELEVATION..M.","RECORD.START","RECORD.END","OBS.FREQ","VARIABLES"
"LCU",70.4840369923603,5,"BCH",13105,"Lamont Creek Upper,13105",15027,"BC",-122.314,49.58191,"1208","2021-04-10","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"MCQ",18.9549902152642,5,"BCH",2478,"McQue Terrace,2478",2881,"BC",-123.4041667,56.9815,"1200","1980-09-14","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"MNS",87.4139210448204,5,"BCH",13091,"Mount Sheba,13091",15013,"BC",-121.8041667,54.52666667,"1484","2021-04-03","2025-02-04","15-minute","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"MOC",50.4255609858637,5,"BCH",13119,"Monkman Creek,13119",15041,"BC",-121.2316972,54.72528056,"1570","2022-10-15","2025-02-04","15-minute","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"MOL",96.5241986900829,5,"BCH",2481,"Molson Ck,2481",2884,"BC",-118.22575,52.22165,"1935","1984-09-13","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"MSK",23.8801714191528,5,"BCH",12400,"Muskwa-Kechika,12400",14422,"BC",-123.106,56.7814,"1196","2018-08-01","2025-02-04","Hourly","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"MTR",92.5473909839909,5,"BCH",2483,"Mt. Revelstoke,2483",2886,"BC",-118.1502778,51.03916667,"1850","1993-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"NDE",5.35018348623853,5,"BCH",13093,"New Denver East,13093",15015,"BC",-117.358372,49.996657,"653","2021-04-03","2025-02-04","Unspecified","Precipitation Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"PAR",25.9353718199609,5,"BCH",2490,"Parsnip Upper,2490",2893,"BC",-122.1458333,54.6125,"790","1960-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"PLL",32.9904343473667,5,"BCH",13118,"Philip Lake,13118",15040,"BC",-123.897927,55.1238,"1028","2022-10-15","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"PUL",57.6360833822666,5,"BCH",2495,"Pulpit Lk,2495",2898,"BC",-126.7487833,57.54828333,"1311","1989-08-27","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"PYN",88.4073381374113,5,"BCH",2496,"Pine Pass,2496",2899,"BC",-122.6373333,55.353,"1400","1988-10-27","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"SKI",39.4998287587455,5,"BCH",13089,"Sikanni Lake,13089",15011,"BC",-124.1319806,57.26375556,"1387","2020-02-01","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"TSY",47.8590962556361,5,"BCH",13117,"Tsaydaychi Lake,13117",15039,"BC",-124.096333,55.41635,"1189","2022-10-15","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"WRU",31.0123263549208,5,"BCH",12414,"Ware Upper,12414",14436,"BC",-125.7,57.3962,"1565","2018-08-01","2025-02-04","Hourly","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"YGS",14.0020639834881,5,"BCH",12415,"Germansen Landing,12415",14437,"BC",-124.701,55.7855,"766","2018-08-01","2025-02-04","Hourly","Precipitation Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
